navn,kategori,plattform,jurisdiksjon,bak_gateway,kilde_dato
Kåfjord,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lavangen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lebesby,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Leirfjord,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Leka,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Lesja,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Levanger,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lier,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Lierne,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Lillehammer,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Lillesand,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lillestrøm,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lindesnes,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lom,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Loppa,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lund,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lunner,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lurøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Luster,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lyngdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lyngen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lærdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lødingen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lørenskog,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Løten,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Malvik,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Marker,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Masfjorden kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Melhus,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Meløy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Meråker,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Midt-Telemark,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Midtre Gauldal,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Modalen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Modum,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Molde,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Moskenes,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Moss,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Målselv,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Måsøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Namsos,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Namsskogan kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Nannestad,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nes,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nesbyen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
